"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2016","94.951","94.820","95.050","94.675","16.52K","0.13%"
"Sep 06, 2016","94.823","95.775","95.855","94.755","26.76K","-1.07%"
"Sep 05, 2016","95.844","95.880","95.890","95.550","5.05K","0.00%"
"Sep 02, 2016","95.844","95.650","95.965","95.175","34.95K","0.19%"
"Sep 01, 2016","95.660","96.015","96.245","95.595","19.22K","-0.37%"
"Aug 31, 2016","96.012","95.990","96.250","95.895","23.73K","-0.03%"
"Aug 30, 2016","96.041","95.520","96.125","95.505","20.77K","0.52%"
"Aug 29, 2016","95.543","95.550","95.805","95.445","17.79K","0.00%"
"Aug 26, 2016","95.542","94.675","95.585","94.200","41.26K","0.84%"
"Aug 25, 2016","94.743","94.760","94.800","94.555","7.78K","-0.00%"
"Aug 24, 2016","94.747","94.550","94.870","94.470","13.90K","0.27%"
"Aug 23, 2016","94.494","94.545","94.565","94.195","15.64K","-0.01%"
"Aug 22, 2016","94.499","94.570","94.940","94.425","13.92K","0.02%"
"Aug 19, 2016","94.483","94.180","94.600","94.180","24.05K","0.37%"
"Aug 18, 2016","94.137","94.600","94.630","94.050","22.34K","-0.58%"
"Aug 17, 2016","94.690","94.760","95.085","94.490","22.95K","-0.08%"
"Aug 16, 2016","94.764","95.610","95.610","94.380","29.14K","-0.87%"
"Aug 15, 2016","95.594","95.675","95.770","95.425","7.25K","-0.09%"
"Aug 12, 2016","95.682","95.900","95.960","95.190","19.04K","-0.16%"
"Aug 11, 2016","95.838","95.530","95.910","95.460","9.07K","0.24%"
"Aug 10, 2016","95.608","96.075","96.075","95.380","16.39K","-0.55%"
"Aug 09, 2016","96.132","96.310","96.465","96.015","12.05K","-0.22%"
"Aug 08, 2016","96.340","96.190","96.420","96.090","6.38K","0.21%"
"Aug 05, 2016","96.136","95.705","96.500","95.485","24.12K","0.44%"
"Aug 04, 2016","95.717","95.490","95.875","95.385","13.79K","0.20%"
"Aug 03, 2016","95.525","95.075","95.545","95.075","12.68K","0.57%"
"Aug 02, 2016","94.988","95.700","95.810","94.940","21.50K","-0.72%"
"Aug 01, 2016","95.677","95.490","95.770","95.460","11.37K","0.19%"
"Jul 29, 2016","95.491","96.595","96.705","95.335","35.78K","-1.27%"
"Jul 28, 2016","96.721","96.640","96.760","96.245","22.98K","-0.33%"
"Jul 27, 2016","97.042","97.170","97.540","96.710","18.21K","-0.13%"
"Jul 26, 2016","97.168","97.310","97.345","96.895","10.59K","-0.16%"
"Jul 25, 2016","97.326","97.455","97.620","97.250","11.32K","-0.19%"
"Jul 22, 2016","97.516","96.895","97.585","96.860","19.03K","0.48%"
"Jul 21, 2016","97.046","97.150","97.275","96.765","24.81K","-0.22%"
"Jul 20, 2016","97.263","97.100","97.370","97.010","22.25K","0.16%"
"Jul 19, 2016","97.108","96.590","97.185","96.530","24.23K","0.54%"
"Jul 18, 2016","96.587","96.615","96.710","96.455","11.29K","0.02%"
"Jul 15, 2016","96.563","96.150","96.750","95.920","22.81K","0.48%"
"Jul 14, 2016","96.100","96.315","96.420","95.840","13.96K","-0.11%"
"Jul 13, 2016","96.208","96.565","96.600","96.095","12.26K","-0.29%"
"Jul 12, 2016","96.487","96.550","96.660","96.075","18.97K","-0.11%"
"Jul 11, 2016","96.590","96.350","96.805","96.285","11.61K","0.27%"
"Jul 08, 2016","96.327","96.320","96.725","95.780","29.46K","-0.06%"
